model,accuracy,precision,recall,f1,auc,fpr,fnr
XGBoost,0.9990538717867343,0.9965633320431166,0.997839056701273,0.9972007863619026,0.9999657747675316,0.0006992639828930913,0.0021609432987269223
RandomForest,0.99832791177404,0.997497905085626,0.9925893737962137,0.995037586018119,0.9999547021141875,0.0005059520968373221,0.007410626203786348
LightGBM,0.9990717232624564,0.9965753424657534,0.9979330107577394,0.997253714527146,0.9997843366860317,0.0006968774163985757,0.0020669892422605345
