replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
23,NoControl,NoControl,,1,0.8668792843818665,0.8700000047683716,0.87,0,Forward,8112,attack,shared_bottleneck,0.001222999998162777,11.431,0.0,59.937933256425445,11.513,0.0,29.48200313247871,0,mixed,two_switch
24,NoControl,NoControl,,1,0.8844065070152283,0.8899999856948853,0.89,0,Forward,8140,attack,shared_bottleneck,0.0015780000097720404,11.415,0.0,31.71776212142218,11.423,0.0,57.52159502536687,0,mixed,two_switch
25,NoControl,NoControl,,1,0.8844060301780701,0.8899999856948853,0.89,0,Forward,8142,attack,shared_bottleneck,0.0010239999994610116,11.38,0.0,24.03377957368059,11.259,0.0,65.95871981632284,0,mixed,two_switch
26,NoControl,NoControl,,0,0.8399470448493958,0.8399999737739563,0.84,0,Forward,8745,benign,shared_bottleneck,0.0012759999918898757,11.204,0.0,57.65688449947764,11.318,0.0,31.818982281080178,0,mixed,two_switch
27,NoControl,NoControl,,0,0.8219642043113708,0.8199999928474426,0.82,0,Forward,8836,benign,shared_bottleneck,0.0013399999971852594,11.35,0.0,32.68491611056538,11.428,0.0,57.50444871571472,0,mixed,two_switch
28,NoControl,NoControl,,0,0.8388247489929199,0.8299999833106995,0.84,0,Forward,9547,benign,shared_bottleneck,0.0014120000031425661,11.382,0.0,32.5933057016722,11.208,0.0,57.941669488957416,0,mixed,two_switch
29,NoControl,NoControl,,1,0.8561859130859375,0.8600000143051147,0.86,0,Forward,10043,attack,shared_bottleneck,0.0014129999925671655,11.42,0.0,28.227302607298697,11.257,0.0,60.81138502890888,0,mixed,two_switch
30,NoControl,NoControl,,1,0.892324686050415,0.8899999856948853,0.89,0,Forward,10279,attack,shared_bottleneck,0.001229999995189246,11.43,0.0,26.14681049487076,11.374,0.0,63.470784843173476,0,mixed,two_switch
31,NoControl,NoControl,,1,0.8923255801200867,0.8899999856948853,0.89,0,Forward,10280,attack,shared_bottleneck,0.0012619999978369378,11.339,0.0,45.143042162920416,11.351,0.0,44.82121016999712,0,mixed,two_switch
32,NoControl,NoControl,,0,0.8032602667808533,0.800000011920929,0.8,0,Forward,10658,benign,shared_bottleneck,0.0015530000041508174,11.554,0.0,29.619751404033927,11.501,0.0,60.51719394299093,70,mixed,two_switch
33,NoControl,NoControl,,1,0.8678531646728516,0.8600000143051147,0.87,0,Forward,10853,attack,shared_bottleneck,0.0013360000110651526,11.475,0.0,59.911470317832155,11.243,0.0,30.374914587660747,70,mixed,two_switch
34,NoControl,NoControl,,0,0.8378587365150452,0.8299999833106995,0.84,0,Forward,11791,benign,shared_bottleneck,0.0017850000091357288,11.795,0.0,33.48231852640934,11.523,0.0,57.33405179066082,0,mixed,two_switch
35,NoControl,NoControl,,1,0.8499701023101807,0.8500000238418579,0.85,0,Forward,11906,attack,shared_bottleneck,0.0013219999885905054,11.547,0.0,30.37144716710454,11.329,0.0,59.912455772955,140,mixed,two_switch
36,NoControl,NoControl,,0,0.8349297046661377,0.8399999737739563,0.84,0,Forward,11955,benign,shared_bottleneck,0.001917000005846603,11.386,0.0,43.59328608626817,11.593,0.0,45.611629938427235,0,mixed,two_switch
37,NoControl,NoControl,,1,0.8590880036354065,0.8600000143051147,0.86,0,Forward,12438,attack,shared_bottleneck,0.0013230000064368141,11.377,0.0,30.354638817132713,11.504,0.0,59.90457303957254,70,mixed,two_switch
38,NoControl,NoControl,,1,0.8899794220924377,0.8899999856948853,0.89,0,Forward,12666,attack,shared_bottleneck,0.0011439999951790014,11.471,0.0,60.84771742867857,11.275,0.0,29.746197588704298,0,mixed,two_switch
39,NoControl,NoControl,,1,0.8740659952163696,0.8700000047683716,0.87,0,Forward,12681,attack,shared_bottleneck,0.0016180000130816552,11.383,0.0,38.212018512444885,11.391,0.0,51.4088484468152,0,mixed,two_switch
40,NoControl,NoControl,,1,0.8425387740135193,0.8500000238418579,0.85,0,Forward,12878,attack,shared_bottleneck,0.0013660000064419364,11.27,0.0,29.70822193718545,11.246,0.0,60.76692972774735,0,mixed,two_switch
41,NoControl,NoControl,,1,0.90160071849823,0.8999999761581421,0.9,0,Forward,13299,attack,shared_bottleneck,0.0011599999965028474,11.325,0.0,31.79877231569362,11.35,0.0,57.5184906328106,0,mixed,two_switch
42,NoControl,NoControl,,1,0.9016007781028748,0.8999999761581421,0.9,0,Forward,13300,attack,shared_bottleneck,0.0014180000107444357,11.181,0.0,38.89826875194866,11.213,0.0,50.74979733011597,0,mixed,two_switch
43,NoControl,NoControl,,0,0.8007186651229858,0.800000011920929,0.8,0,Forward,13348,benign,shared_bottleneck,0.0010830000007899798,11.29,0.0,24.021829733508913,11.162,0.0,65.99175556184902,0,mixed,two_switch
44,NoControl,NoControl,,0,0.7630465626716614,0.7599999904632568,0.76,0,Forward,13382,benign,shared_bottleneck,0.0012699999984988608,11.18,0.0,30.859744580958,11.265,0.0,59.73714144646265,0,mixed,two_switch
45,NoControl,NoControl,,1,0.8798288702964783,0.8799999952316284,0.87,0,Forward,13628,attack,shared_bottleneck,0.0016599999952404687,11.156,0.0,29.150188343549758,11.165,0.0,60.43973078813976,0,mixed,two_switch
46,NoControl,NoControl,,0,0.8233427405357361,0.8199999928474426,0.82,0,Forward,13761,benign,shared_bottleneck,0.0011529999994763784,11.225,0.0,46.3123714190566,11.169,0.0,44.37912089365496,0,mixed,two_switch
47,NoControl,NoControl,,1,0.8986366391181946,0.8999999761581421,0.9,0,Forward,13957,attack,shared_bottleneck,0.001126000000795102,11.373,0.0,30.36472159385135,11.139,0.0,60.7476986557694,0,mixed,two_switch
48,NoControl,NoControl,,0,0.7998307943344116,0.800000011920929,0.79,0,Forward,14449,benign,shared_bottleneck,0.0014010000057851357,11.202,0.0,67.7914589864853,11.3,0.0,22.432484932709563,0,mixed,two_switch
