controller,controller_family,seed,steps,benign_steps,attack_steps,benign_tcp_mean_mbps,benign_loss_mean_pct,attack_tcp_mean_mbps,attack_loss_mean_pct,control_apply_mean_ms,mirror_rx_mean_bytes,aggressive_on_benign_rate,aggressive_on_attack_rate,replay_mode,topology
NoControl,NoControl,,119,59,60,45.53674733443135,0.0,49.26472614926494,0.0,0.00141721848628211,25.96638655462185,0.0,0.0,mixed,two_switch
Greedy,Greedy,,119,59,60,0.4094030517813256,98.30508474576271,0.0,100.0,15.531113714285134,17.613445378151262,0.9830508474576272,1.0,mixed,two_switch
RA-Threshold,RA-Threshold,,119,59,60,44.03676707093735,3.389830508474576,1.01262362929991,98.33333333333333,4.506321268908927,22.77310924369748,0.03389830508474576,0.9833333333333333,mixed,two_switch
DQN-TFC (seed=42),DQN-TFC,42.0,119,59,60,0.0,100.0,0.0,100.0,15.620790268908728,15.714285714285714,1.0,1.0,mixed,two_switch
DQN-TFC (seed=2024),DQN-TFC,2024.0,119,59,60,39.51053389865914,15.254237288135593,7.326088518485365,83.33333333333333,6.841284924365852,26.134453781512605,0.15254237288135594,0.8333333333333334,mixed,two_switch
DQN-TFC (seed=2025),DQN-TFC,2025.0,119,59,60,36.64983622020559,27.11864406779661,6.028264422353574,86.66666666666667,7.688536882340929,19.831932773109244,0.2711864406779661,0.8666666666666667,mixed,two_switch
