controller,controller_family,seed,steps,control_apply_mean_ms,control_apply_p95_ms,action_switch_rate,control_action_rate,mirror_step_rate,mirror_rx_mean_bytes,mirror_rx_p95_bytes
NoControl,NoControl,,119,0.0014172184862820607,0.0018368999924689296,0.0,0.0,0.0,25.96638655462185,76.9999999999996
Greedy,Greedy,,119,15.531113714285134,16.700507000012976,0.01694915254237288,1.0,0.0,17.613445378151262,70.0
RA-Threshold,RA-Threshold,,119,4.506321268908927,9.977184499950877,0.4152542372881356,0.5126050420168067,0.0,22.77310924369748,140.0
DQN-TFC (seed=42),DQN-TFC,42.0,119,15.620790268908728,17.11490440002308,0.03389830508474576,1.0,0.0,15.714285714285714,70.0
DQN-TFC (seed=2024),DQN-TFC,2024.0,119,6.841284924365852,18.31168829985472,0.5169491525423728,0.4957983193277311,0.0,26.134453781512605,140.0
DQN-TFC (seed=2025),DQN-TFC,2025.0,119,7.688536882340929,18.641553900010877,0.4745762711864407,0.5798319327731093,0.0,19.831932773109244,70.0
