controller_family,benign_tcp_mean_mbps_mean,benign_tcp_mean_mbps_std,benign_loss_mean_pct_mean,benign_loss_mean_pct_std,attack_tcp_mean_mbps_mean,attack_tcp_mean_mbps_std,attack_loss_mean_pct_mean,attack_loss_mean_pct_std,control_apply_mean_ms_mean,control_apply_mean_ms_std,aggressive_on_benign_rate_mean,aggressive_on_benign_rate_std,aggressive_on_attack_rate_mean,aggressive_on_attack_rate_std
NoControl,45.53674733443135,0.0,0.0,0.0,49.26472614926494,0.0,0.0,0.0,0.00141721848628211,0.0,0.0,0.0,0.0,0.0
Greedy,0.4094030517813256,0.0,98.30508474576271,0.0,0.0,0.0,100.0,0.0,15.531113714285134,0.0,0.9830508474576272,0.0,1.0,0.0
RA-Threshold,44.03676707093735,0.0,3.389830508474576,0.0,1.01262362929991,0.0,98.33333333333333,0.0,4.506321268908927,0.0,0.03389830508474576,0.0,0.9833333333333333,0.0
DQN-TFC,25.386790039621577,17.98912132723088,47.45762711864407,37.46746809398701,4.451450980279646,3.1919324051426425,90.0,7.200822998230957,10.05020402520517,3.954156656311401,0.4745762711864407,0.3746746809398701,0.9,0.07200822998230953
