controller,controller_family,seed,steps,benign_steps,attack_steps,num_attackers,benign_tcp_mbps,benign_udp_mbps,attack_tcp_mbps,attack_udp_mbps,benign_loss_pct,attack_suppression_ratio,mean_rtt_ms,mean_rule_install_ms,mean_ovs_flow_entries,ovs_cpu_pct,aggressive_on_benign_rate,aggressive_on_attack_rate,rule_changes_per_step,bottleneck_mbps
NoControl,NoControl,,49,24,25,2,18.23411371226862,19.992907716340266,18.232538740781678,19.99266711924482,0.0,3.313354296696769e-05,15.1135,0.001682785852831237,1.0,1.2102040816326531,0.0,0.0,0.0,20
Greedy,Greedy,,49,24,25,2,18.231796113846716,19.992396753891697,0.0,0.0,0.0,1.0,15.135291666666669,15.734219543483793,2.9591836734693877,1.2000000000000002,0.9583333333333334,1.0,1.9591836734693877,20
CARA-TC,CARA-TC,,49,24,25,2,18.236946850468144,19.992886890355738,0.7289620978397173,0.799715375654339,0.0,0.2710379021602827,15.105916666666667,8.290461055478271,2.020408163265306,1.2000000000000002,0.041666666666666664,0.96,1.0204081632653061,20
