table_id,experiment,split,window_size,stride,calibration,detector,controller,seed,metric,value,std,script,commit,notes
T13,non_overlap,non_overlap,100,1,validation_tuned,xgboost,CARA-TC,0,BenDrop,0.0443,0.0000,scripts/nonoverlap_split.py,,
T17,ovs_replay,ovs_compact,100,1,validation_tuned,xgboost,CARA-TC,0,Benign_TCP_Mbps,42.8,,scripts/ovs_replay.py,,compact executability check
T17,ovs_replay,ovs_compact,100,1,validation_tuned,xgboost,CARA-TC,0,Benign_UDP_Mbps,36.5,,scripts/ovs_replay.py,,compact executability check
T17,ovs_replay,ovs_compact,100,1,validation_tuned,xgboost,CARA-TC,0,Attack_Suppression,98.3,,scripts/ovs_replay.py,,compact executability check
T17,ovs_replay,ovs_compact,100,1,validation_tuned,xgboost,CARA-TC,0,Benign_Loss,3.4,,scripts/ovs_replay.py,,compact executability check
T17,ovs_replay,ovs_compact,100,1,validation_tuned,xgboost,CARA-TC,0,Rule_Install_Latency_ms,4.5,,scripts/ovs_replay.py,,compact executability check
T30,score_calibration,corrected_random,100,1,raw,xgboost,CARA-TC,0,ECE,0.3457,,scripts/score_calibration.py,,
T30,score_calibration,corrected_random,100,1,raw,xgboost,CARA-TC,0,BenSafe,0.9348,,scripts/score_calibration.py,,
T30,score_calibration,corrected_random,100,1,raw,xgboost,CARA-TC,0,StrictAtkMit,0.8070,,scripts/score_calibration.py,,
T30,score_calibration,corrected_random,100,1,platt,xgboost,CARA-TC,0,ECE,0.0100,,scripts/score_calibration.py,,
T30,score_calibration,corrected_random,100,1,platt,xgboost,CARA-TC,0,BenSafe,0.9713,,scripts/score_calibration.py,,
T30,score_calibration,corrected_random,100,1,platt,xgboost,CARA-TC,0,StrictAtkMit,0.9510,,scripts/score_calibration.py,,
T_ep_disjoint,endpoint_disjoint,ep_disjoint,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,0.7412,0.0000,scripts/endpoint_disjoint.py,,CONSERVATIVE VERSION - USE THIS
T_ep_disjoint,endpoint_disjoint,ep_disjoint,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.8834,0.0000,scripts/endpoint_disjoint.py,,CONSERVATIVE VERSION - USE THIS
T_ep_disjoint,endpoint_disjoint,ep_disjoint,100,1,validation_tuned,xgboost,CARA-TC,0,BenDrop,0.2588,0.0000,scripts/endpoint_disjoint.py,,CONSERVATIVE VERSION - USE THIS
T_blocked_chrono,blocked_chrono_cv,blocked_chrono,100,1,fold_val,xgboost,CARA-TC,0,BenSafe,0.9713,0.0083,scripts/blocked_chrono_cv.py,,3-fold mean
T_blocked_chrono,blocked_chrono_cv,blocked_chrono,100,1,fold_val,xgboost,CARA-TC,0,StrictAtkMit,0.9606,0.0138,scripts/blocked_chrono_cv.py,,3-fold mean
T_blocked_chrono,blocked_chrono_cv,blocked_chrono,100,1,fold_val,xgboost,CARA-TC,0,BenDrop,0.0287,0.0083,scripts/blocked_chrono_cv.py,,3-fold mean
T_no_rho,no_rho_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe_with_rho,0.8834,,scripts/no_rho_ablation.py,,
T_no_rho,no_rho_ablation,corrected_random,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe_no_rho,0.8834,,scripts/no_rho_ablation.py,,ranking unchanged
T_attack_family,attack_family_holdout,ddos_heldout,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,1.0000,,scripts/attack_family_holdout.py,,DDoS held out
T_attack_family,attack_family_holdout,ddos_heldout,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.0000,,scripts/attack_family_holdout.py,,DDoS held out - all controllers collapse
T_attack_family,attack_family_holdout,mitm_heldout,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,1.0000,,scripts/attack_family_holdout.py,,MITM held out
T_attack_family,attack_family_holdout,mitm_heldout,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.0000,,scripts/attack_family_holdout.py,,MITM held out - all controllers collapse
T_attack_family,attack_family_holdout,other_attack_heldout,100,1,validation_tuned,xgboost,CARA-TC,0,BenSafe,1.0000,,scripts/attack_family_holdout.py,,Other Attack held out
T_attack_family,attack_family_holdout,other_attack_heldout,100,1,validation_tuned,xgboost,CARA-TC,0,StrictAtkMit,0.1379,,scripts/attack_family_holdout.py,,Other Attack held out
