calibration,controller,ece,brier,f1,fpr,goodput,attack_mitigation_rate,benign_drop_rate,avg_latency,avg_reward,steps,accuracy,balanced_accuracy,precision,recall,macro_f1,weighted_f1,fnr,mcc,tp,tn,fp,fn,benign_throttle_rate,attack_blocking_rate,total_benign,total_attack,benign_forwarded,benign_dropped,benign_throttled,attack_mitigated,attack_forwarded,avg_packet_loss,total_steps,ssu,scenario
Raw,CARA-TC,0.4206418688770289,0.35220677274951884,0.6491928330672343,1.0,0.9756005056890013,0.9387211367673179,0.024399494310998734,4.409723606391249,-0.4268603934848347,30458.0,,,,,,,,,,,,,,,,,,,,,,,,,
Platt,CARA-TC,0.009990394513732691,0.028881675797541913,0.9599075050158126,0.041403286978508216,0.9888748419721871,0.9147424511545293,0.011125158027812896,4.002323131034455,0.13822943806546711,30458.0,,,,,,,,,,,,,,,,,,,,,,,,,
Isotonic,CARA-TC,0.010326609478361184,0.029287140521182687,0.9593998234774934,0.04355246523388116,0.9885587863463969,0.9154939199344173,0.011125158027812896,4.009181409876469,0.10638390608280915,30458.0,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature,CARA-TC,0.2213302341559038,0.29250052742402494,0.6491928330672343,1.0,1.0,0.0,0.0,4.741169896875135,-1.9841491912166414,30458.0,,,,,,,,,,,,,,,,,,,,,,,,,
Raw,SAP-TC (CSC),0.4206418688770289,0.35220677274951884,0.6643515426739682,1.0,0.9671707122960604,0.9573783675110575,0.032829287703939516,3.9886418725843242,0.3822159226113406,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0,1.0,10052.0,9948.0,9722.0,330.0,0.0,9524.0,424.0,0.23889411323245222,20000.0,0.4507533304510597,
Raw,SAP-TC (DT),0.4206418688770289,0.35220677274951884,0.6643515426739682,1.0,0.9653800238758456,0.9585846401286691,0.0346199761241544,3.988791709237289,0.3694960772848721,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0,1.0,10052.0,9948.0,9704.0,348.0,0.0,9536.0,412.0,0.23889404023243843,20000.0,0.450220470087053,
Raw,DQN-TFC-val,0.4206418688770289,0.35220677274951884,0.6643515426739682,1.0,0.8218265021886192,0.8729392842782469,0.17021488261042578,3.781015741838675,-0.7839802805478734,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.007958615200955034,0.9889425010052272,10052.0,9948.0,8261.0,1711.0,80.0,8684.0,1154.0,0.1714529580030392,20000.0,0.353470701952424,
Raw,PPO-TFC-val,0.4206418688770289,0.35220677274951884,0.6643515426739682,1.0,0.943991245523279,0.3072979493365501,0.0556108237166733,3.9589436563639278,-0.7486967990148216,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0003979307600477517,0.9993968636911942,10052.0,9948.0,9489.0,559.0,4.0,3057.0,6885.0,0.23883444296881284,20000.0,0.24409900867682724,
Platt,SAP-TC (CSC),0.009990394513732691,0.028881675797541913,0.9631108670693356,0.04357341822522881,0.9703541583764425,0.9581825492561319,0.0296458416235575,3.9885222038880013,0.2586116089156834,,0.96305,0.9630846218081737,0.9565691621219633,0.9697426618415762,0.9630498994033512,0.9630495823714879,0.030257338158423804,0.9261901809481801,9647.0,9614.0,438.0,301.0,0.0,1.0,10052.0,9948.0,9754.0,298.0,0.0,9532.0,416.0,0.23889426127627109,20000.0,0.45258582714628015,
Platt,SAP-TC (DT),0.009990394513732691,0.028881675797541913,0.9631108670693356,0.04357341822522881,0.9696577795463589,0.9629071170084439,0.030342220453641065,3.9887918501804975,0.25984594382405884,,0.96305,0.9630846218081737,0.9565691621219633,0.9697426618415762,0.9630498994033512,0.9630495823714879,0.030257338158423804,0.9261901809481801,9647.0,9614.0,438.0,301.0,0.0,1.0,10052.0,9948.0,9747.0,305.0,0.0,9579.0,369.0,0.2388941032216474,20000.0,0.45365609155255093,
Platt,DQN-TFC-val,0.009990394513732691,0.028881675797541913,0.9631108670693356,0.04357341822522881,0.9596100278551533,0.9657217531162042,0.0403899721448468,3.6536424268979273,0.3982113359686815,,0.96305,0.9630846218081737,0.9565691621219633,0.9697426618415762,0.9630498994033512,0.9630495823714879,0.030257338158423804,0.9261901809481801,9647.0,9614.0,438.0,301.0,0.0,1.0,10052.0,9948.0,9646.0,406.0,0.0,9607.0,341.0,0.1406395708708392,20000.0,0.44803299587332457,
Platt,PPO-TFC-val,0.009990394513732691,0.028881675797541913,0.9626303447587686,0.04456824512534819,0.967867091126144,0.9535585042219542,0.03213290887385595,3.9928928895397244,0.22072263820016347,,0.96255,0.962587208358114,0.9556215948489352,0.9697426618415762,0.9625498268865748,0.9625494081936393,0.030257338158423804,0.9252036590306928,9647.0,9604.0,448.0,301.0,0.0,1.0,10052.0,9948.0,9729.0,323.0,0.0,9486.0,462.0,0.23818970073871293,20000.0,0.44997262792148207,
Isotonic,SAP-TC (CSC),0.010326609478361184,0.029287140521182687,0.9616745576875155,0.04665738161559889,0.9669717469160366,0.9596903900281464,0.03302825308396339,3.9887671523671595,0.23396565771616498,,0.96155,0.9615929014720559,0.9536423841059603,0.9698431845597105,0.9615495938675852,0.9615489440557216,0.030156815440289506,0.9232365144736124,9648.0,9583.0,469.0,300.0,0.0,1.0,10052.0,9948.0,9720.0,332.0,0.0,9547.0,401.0,0.2388942382362101,20000.0,0.45134795790715554,
Isotonic,SAP-TC (DT),0.010326609478361184,0.029287140521182687,0.9616745576875155,0.04665738161559889,0.9653800238758456,0.9576799356654604,0.0346199761241544,3.9887471421288994,0.21818166741403155,,0.96155,0.9615929014720559,0.9536423841059603,0.9698431845597105,0.9615495938675852,0.9615489440557216,0.030156815440289506,0.9232365144736124,9648.0,9583.0,469.0,300.0,0.0,1.0,10052.0,9948.0,9704.0,348.0,0.0,9527.0,421.0,0.2388942336574737,20000.0,0.44994887967612784,
Isotonic,DQN-TFC-val,0.010326609478361184,0.029287140521182687,0.9616745576875155,0.04665738161559889,0.9586152009550338,0.9692400482509047,0.041384799044966177,3.9891732192014797,0.18055607128034604,,0.96155,0.9615929014720559,0.9536423841059603,0.9698431845597105,0.9615495938675852,0.9615489440557216,0.030156815440289506,0.9232365144736124,9648.0,9583.0,469.0,300.0,0.0,1.0,10052.0,9948.0,9636.0,416.0,0.0,9642.0,306.0,0.2388822912548691,20000.0,0.45003621385075065,
Isotonic,PPO-TFC-val,0.010326609478361184,0.029287140521182687,0.9616745576875155,0.04665738161559889,0.980799840827696,0.9397868918375553,0.01920015917230402,3.9435471887173246,0.3504784584955824,,0.96155,0.9615929014720559,0.9536423841059603,0.9698431845597105,0.9615495938675852,0.9615489440557216,0.030156815440289506,0.9232365144736124,9648.0,9583.0,469.0,300.0,0.0,1.0,10052.0,9948.0,9859.0,193.0,0.0,9349.0,599.0,0.21306656743423952,20000.0,0.4521075980696504,
Temperature,SAP-TC (CSC),0.2213302341559038,0.29250052742402494,0.6643515426739682,1.0,0.9673696776760844,0.9567752312022517,0.03263032232391564,3.988602174310731,0.38294763693140593,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0,1.0,10052.0,9948.0,9724.0,328.0,0.0,9518.0,430.0,0.23889424804918366,20000.0,0.4506717127301635,
Temperature,SAP-TC (DT),0.2213302341559038,0.29250052742402494,0.6643515426739682,1.0,0.9653800238758456,0.9585846401286691,0.0346199761241544,3.988791709237289,0.3694960772848721,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0,1.0,10052.0,9948.0,9704.0,348.0,0.0,9536.0,412.0,0.23889404023243843,20000.0,0.450220470087053,
Temperature,DQN-TFC-val,0.2213302341559038,0.29250052742402494,0.6643515426739682,1.0,0.6351969757262237,0.9383795737836751,0.36480302427377637,3.818842206518609,-2.2043388040072602,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0,1.0,10052.0,9948.0,6385.0,3667.0,0.0,9335.0,613.0,0.1997446728839111,20000.0,0.2783604873046601,
Temperature,PPO-TFC-val,0.2213302341559038,0.29250052742402494,0.6643515426739682,1.0,0.9863708714683646,0.13480096501809408,0.013629128531635495,3.956724835217056,-0.6776799815330049,,0.4974,0.5,0.4974,1.0,0.3321757713369841,0.3304484573260318,0.0,0.0,9948.0,0.0,10052.0,0.0,0.0,1.0,10052.0,9948.0,9915.0,137.0,0.0,1341.0,8607.0,0.2384926869268712,20000.0,0.21345111330845992,
Isotonic,CARA-TC,0.9157884369151975,0.9157884369151975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Chrono
Temperature,CARA-TC,0.2746653653945375,0.1031621618743966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Chrono
Raw,,0.4206418688770289,0.35220677274951884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Random
Platt,,0.009990394513732691,0.028881675797541913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Random
Isotonic,,0.010326609478361184,0.029287140521182687,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Random
Temperature,,0.2213302341559038,0.29250052742402494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Random
Raw,,0.0727443620648167,0.06340439986843893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Chrono
Isotonic,,0.9157884369151975,0.9157884369151975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Chrono
Temperature,,0.2746653653945375,0.1031621618743966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Edge-Chrono
Raw,,0.16889986024711054,0.029899277690583644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIC-IDS2017
Isotonic,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIC-IDS2017
Temperature,,0.5425984001083378,0.2944994170858537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CIC-IDS2017
