,brier,brier,brier,brier,ece,ece,ece,ece
calibration,Isotonic,Platt,Raw,Temperature,Isotonic,Platt,Raw,Temperature
scenario,,,,,,,,
CIC-IDS2017,0.0,,0.029899277690583644,0.2944994170858537,0.0,,0.16889986024711054,0.5425984001083378
Edge-Chrono,0.9157884369151975,,0.06340439986843893,0.1031621618743966,0.9157884369151975,,0.0727443620648167,0.2746653653945375
Edge-Random,0.029287140521182687,0.028881675797541913,0.35220677274951884,0.29250052742402494,0.010326609478361184,0.009990394513732691,0.4206418688770289,0.2213302341559038
