,,atkmit,atkmit,atkmit,atkmit,atkmit,atkmit,atkmit,atkmit,atkmit,bendrop,bendrop,bendrop,bendrop,bendrop,bendrop,bendrop,bendrop,bendrop,bensafe,bensafe,bensafe,bensafe,bensafe,bensafe,bensafe,bensafe,bensafe,latency,latency,latency,latency,latency,latency,latency,latency,latency
controller,,CARA-TC,DQN-TFC,DQN-TFC-val,Greedy,NoControl,PPO-TFC,PPO-TFC-val,SAP-TC (CSC),SAP-TC (DT),CARA-TC,DQN-TFC,DQN-TFC-val,Greedy,NoControl,PPO-TFC,PPO-TFC-val,SAP-TC (CSC),SAP-TC (DT),CARA-TC,DQN-TFC,DQN-TFC-val,Greedy,NoControl,PPO-TFC,PPO-TFC-val,SAP-TC (CSC),SAP-TC (DT),CARA-TC,DQN-TFC,DQN-TFC-val,Greedy,NoControl,PPO-TFC,PPO-TFC-val,SAP-TC (CSC),SAP-TC (DT)
variant,num_features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
full_features,41,0.9975406476294576,0.41877764374748694,0.7222557297949337,1.0,0.0,0.0,0.3731403297145155,0.9629071170084439,0.97778447929232,0.15056890012642224,0.1333068046159968,0.025467568643056108,0.9999005173099881,0.0,0.0,0.08774373259052924,0.07361719060883407,0.08873855949064863,0.8494310998735778,0.8666931953840031,0.9745324313569439,9.948269001193792e-05,1.0,1.0,0.9122562674094707,0.9263828093911659,0.9112614405093514,4.3419867060717205,3.954015841831021,3.9748994334342758,2.543708982625702,3.9424522799120902,3.9424522799120902,3.9622499820765364,3.990437708474045,3.991813007850624
no_endpoint_stream_ids,30,0.9515644213690395,0.0010052271813429834,0.5200040209087253,1.0,0.0,0.0,0.0,0.7044632086851629,0.6593285082428629,0.6538558786346397,0.0,0.25646637485077595,1.0,0.0,0.0,0.0,0.25825706327099085,0.2282132908873856,0.3461441213653603,0.9930362116991643,0.743533625149224,0.0,1.0,1.0,1.0,0.7417429367290092,0.7717867091126144,4.140624907516234,3.938927104239216,3.839608510176771,2.5437106033236603,3.9424522799120902,3.9424522799120902,3.9424522799120902,3.985977898474548,3.9836552883757563
no_endpoint_stream_or_protocol_tags,21,0.9536138816778248,0.22316043425814233,0.6394250100522718,1.0,0.0,0.0,0.0,0.7224567752312022,0.7758343385605146,0.6608723135271808,0.0844608038201353,0.4165340230799841,1.0,0.0,0.0,0.0,0.25517309988062076,0.3530640668523677,0.3391276864728192,0.9155391961798647,0.5834659769200159,0.0,1.0,1.0,1.0,0.7448269001193792,0.6469359331476323,4.135623046073633,3.9561519170192025,3.6184051284019048,2.5437106033236603,3.9424522799120902,3.9424522799120902,3.9424522799120902,3.9855065231874445,3.9879313762384014
size_timing_only,8,0.971649132395136,0.0,0.19219943707277845,1.0,0.0,0.0,0.0,0.6868717330116606,0.7285886610373945,0.7735145385587864,0.0,0.1062475129327497,1.0,0.0,0.0,0.0,0.3050139275766017,0.3656983684838838,0.22648546144121365,1.0,0.8937524870672503,0.0,1.0,1.0,1.0,0.6949860724233984,0.6343016315161162,4.063281668345204,3.9424522799120902,3.9544272385716637,2.5437106033236603,3.9424522799120902,3.9424522799120902,3.9424522799120902,3.984202453058287,3.9862851438078777
