variant,num_features,controller,oracle_labels,deployable,bensafe,atkmit,bendrop,latency
full_features,41,CARA-TC,none,yes,0.8494310998735778,0.9975406476294576,0.15056890012642224,4.3419867060717205
full_features,41,Greedy,none,yes,9.948269001193792e-05,1.0,0.9999005173099881,2.543708982625702
full_features,41,NoControl,none,yes,1.0,0.0,0.0,3.9424522799120902
full_features,41,DQN-TFC,none,yes,0.8666931953840031,0.41877764374748694,0.1333068046159968,3.954015841831021
full_features,41,PPO-TFC,none,yes,1.0,0.0,0.0,3.9424522799120902
full_features,41,DQN-TFC-val,none,yes,0.9745324313569439,0.7222557297949337,0.025467568643056108,3.9748994334342758
full_features,41,PPO-TFC-val,none,yes,0.9122562674094707,0.3731403297145155,0.08774373259052924,3.9622499820765364
full_features,41,SAP-TC (CSC),train_only,diagnostic,0.9263828093911659,0.9629071170084439,0.07361719060883407,3.990437708474045
full_features,41,SAP-TC (DT),train_only,diagnostic,0.9112614405093514,0.97778447929232,0.08873855949064863,3.991813007850624
no_endpoint_stream_ids,30,CARA-TC,none,yes,0.3461441213653603,0.9515644213690395,0.6538558786346397,4.140624907516234
no_endpoint_stream_ids,30,Greedy,none,yes,0.0,1.0,1.0,2.5437106033236603
no_endpoint_stream_ids,30,NoControl,none,yes,1.0,0.0,0.0,3.9424522799120902
no_endpoint_stream_ids,30,DQN-TFC,none,yes,0.9930362116991643,0.0010052271813429834,0.0,3.938927104239216
no_endpoint_stream_ids,30,PPO-TFC,none,yes,1.0,0.0,0.0,3.9424522799120902
no_endpoint_stream_ids,30,DQN-TFC-val,none,yes,0.743533625149224,0.5200040209087253,0.25646637485077595,3.839608510176771
no_endpoint_stream_ids,30,PPO-TFC-val,none,yes,1.0,0.0,0.0,3.9424522799120902
no_endpoint_stream_ids,30,SAP-TC (CSC),train_only,diagnostic,0.7417429367290092,0.7044632086851629,0.25825706327099085,3.985977898474548
no_endpoint_stream_ids,30,SAP-TC (DT),train_only,diagnostic,0.7717867091126144,0.6593285082428629,0.2282132908873856,3.9836552883757563
no_endpoint_stream_or_protocol_tags,21,CARA-TC,none,yes,0.3391276864728192,0.9536138816778248,0.6608723135271808,4.135623046073633
no_endpoint_stream_or_protocol_tags,21,Greedy,none,yes,0.0,1.0,1.0,2.5437106033236603
no_endpoint_stream_or_protocol_tags,21,NoControl,none,yes,1.0,0.0,0.0,3.9424522799120902
no_endpoint_stream_or_protocol_tags,21,DQN-TFC,none,yes,0.9155391961798647,0.22316043425814233,0.0844608038201353,3.9561519170192025
no_endpoint_stream_or_protocol_tags,21,PPO-TFC,none,yes,1.0,0.0,0.0,3.9424522799120902
no_endpoint_stream_or_protocol_tags,21,DQN-TFC-val,none,yes,0.5834659769200159,0.6394250100522718,0.4165340230799841,3.6184051284019048
no_endpoint_stream_or_protocol_tags,21,PPO-TFC-val,none,yes,1.0,0.0,0.0,3.9424522799120902
no_endpoint_stream_or_protocol_tags,21,SAP-TC (CSC),train_only,diagnostic,0.7448269001193792,0.7224567752312022,0.25517309988062076,3.9855065231874445
no_endpoint_stream_or_protocol_tags,21,SAP-TC (DT),train_only,diagnostic,0.6469359331476323,0.7758343385605146,0.3530640668523677,3.9879313762384014
size_timing_only,8,CARA-TC,none,yes,0.22648546144121365,0.971649132395136,0.7735145385587864,4.063281668345204
size_timing_only,8,Greedy,none,yes,0.0,1.0,1.0,2.5437106033236603
size_timing_only,8,NoControl,none,yes,1.0,0.0,0.0,3.9424522799120902
size_timing_only,8,DQN-TFC,none,yes,1.0,0.0,0.0,3.9424522799120902
size_timing_only,8,PPO-TFC,none,yes,1.0,0.0,0.0,3.9424522799120902
size_timing_only,8,DQN-TFC-val,none,yes,0.8937524870672503,0.19219943707277845,0.1062475129327497,3.9544272385716637
size_timing_only,8,PPO-TFC-val,none,yes,1.0,0.0,0.0,3.9424522799120902
size_timing_only,8,SAP-TC (CSC),train_only,diagnostic,0.6949860724233984,0.6868717330116606,0.3050139275766017,3.984202453058287
size_timing_only,8,SAP-TC (DT),train_only,diagnostic,0.6343016315161162,0.7285886610373945,0.3656983684838838,3.9862851438078777
