controller,controller_family,seed,steps,control_apply_mean_ms,control_apply_p95_ms,action_switch_rate,control_action_rate,mirror_step_rate,mirror_rx_mean_bytes,mirror_rx_p95_bytes
NoControl,NoControl,,119,0.001418512609051786,0.0019683999937568897,0.0,0.0,0.0,21.932773109243698,140.0
Greedy,Greedy,,119,8.721714941181645,9.709442700022919,0.01694915254237288,1.0,0.0,16.30252100840336,76.9999999999996
RA-Threshold,RA-Threshold,,119,4.45629931932729,9.292527800027981,0.4152542372881356,0.5126050420168067,0.0,19.243697478991596,140.0
DQN-TFC (seed=42),DQN-TFC,42.0,119,8.701553327709382,9.59132470006807,0.03389830508474576,1.0,0.0,17.478991596638654,70.0
DQN-TFC (seed=2024),DQN-TFC,2024.0,119,4.319784554625875,9.431489799953852,0.5169491525423728,0.4957983193277311,0.0,21.34453781512605,70.0
DQN-TFC (seed=2025),DQN-TFC,2025.0,119,4.972496714306529,9.430165900221253,0.4745762711864407,0.5798319327731093,0.0,18.067226890756302,70.0
