controller,controller_family,seed,steps,benign_steps,attack_steps,benign_tcp_mean_mbps,benign_loss_mean_pct,attack_tcp_mean_mbps,attack_loss_mean_pct,control_apply_mean_ms,mirror_rx_mean_bytes,aggressive_on_benign_rate,aggressive_on_attack_rate,replay_mode,topology
NoControl,NoControl,,119,59,60,90.77346605225254,0.0,90.76450251180482,0.0,0.0014185126090518405,21.932773109243698,0.0,0.0,targeted,single
Greedy,Greedy,,119,59,60,1.5339835086646327,98.30508474576271,0.0,100.0,8.721714941181645,16.30252100840336,0.9830508474576272,1.0,targeted,single
RA-Threshold,RA-Threshold,,119,59,60,87.6914287342872,3.389830508474576,1.5101197942295874,98.33333333333333,4.45629931932729,19.243697478991596,0.03389830508474576,0.9833333333333333,targeted,single
DQN-TFC (seed=42),DQN-TFC,42.0,119,59,60,0.0,100.0,0.0,100.0,8.701553327709382,17.478991596638654,1.0,1.0,targeted,single
DQN-TFC (seed=2024),DQN-TFC,2024.0,119,59,60,76.93723934552838,15.254237288135593,15.139150721810328,83.33333333333333,4.319784554625875,21.34453781512605,0.15254237288135594,0.8333333333333334,targeted,single
DQN-TFC (seed=2025),DQN-TFC,2025.0,119,59,60,66.15170722011119,27.11864406779661,12.117499020562981,86.66666666666667,4.972496714306529,18.067226890756302,0.2711864406779661,0.8666666666666667,targeted,single
