replay_step,controller,controller_family,seed,true_label,detector_confidence,detector_estimated_ratio,attack_ratio,action_id,action_name,orig_index,label_bucket,target_name,control_apply_ms,benign_ping_avg_rtt_ms,benign_ping_loss_pct,benign_tcp_throughput_mbps,attack_ping_avg_rtt_ms,attack_ping_loss_pct,attack_tcp_throughput_mbps,ids_mirror_rx_bytes_delta,replay_mode,topology
25,NoControl,NoControl,,1,0.8844060301780701,0.8899999856948853,0.89,0,Forward,8142,attack,attacker,0.0016930000015236146,6.962,0.0,90.48126923918859,6.698,0.0,90.5427855970987,0,targeted,single
26,NoControl,NoControl,,0,0.8399470448493958,0.8399999737739563,0.84,0,Forward,8745,benign,client,0.001576000016711987,7.026,0.0,90.67011332089383,6.422,0.0,90.8069043158811,0,targeted,single
27,NoControl,NoControl,,0,0.8219642043113708,0.8199999928474426,0.82,0,Forward,8836,benign,client,0.0012090000041098392,6.48,0.0,90.594250479733,6.54,0.0,90.72494549110827,0,targeted,single
28,NoControl,NoControl,,0,0.8388247489929199,0.8299999833106995,0.84,0,Forward,9547,benign,client,0.0014279999902555573,6.569,0.0,90.61320428620809,6.632,0.0,90.64247464706071,0,targeted,single
29,NoControl,NoControl,,1,0.8561859130859375,0.8600000143051147,0.86,0,Forward,10043,attack,attacker,0.0017049999883056444,6.727,0.0,90.59268508506361,6.444,0.0,90.79970321270426,0,targeted,single
30,NoControl,NoControl,,1,0.892324686050415,0.8899999856948853,0.89,0,Forward,10279,attack,attacker,0.001887000024680674,6.614,0.0,90.69223639862999,6.57,0.0,90.76181278131094,0,targeted,single
31,NoControl,NoControl,,1,0.8923255801200867,0.8899999856948853,0.89,0,Forward,10280,attack,attacker,0.0016719999962333532,6.651,0.0,90.4204930093321,6.702,0.0,90.80119300241371,0,targeted,single
32,NoControl,NoControl,,0,0.8032602667808533,0.800000011920929,0.8,0,Forward,10658,benign,client,0.0019720000068446097,6.413,0.0,90.75693399866437,6.597,0.0,90.78083677356445,0,targeted,single
33,NoControl,NoControl,,1,0.8678531646728516,0.8600000143051147,0.87,0,Forward,10853,attack,attacker,0.0012190000120426703,6.475,0.0,90.6354645291019,6.403,0.0,90.7438713667961,0,targeted,single
34,NoControl,NoControl,,0,0.8378587365150452,0.8299999833106995,0.84,0,Forward,11791,benign,client,0.0013579999915691587,6.225,0.0,90.5568605775874,6.319,0.0,90.67217658436682,0,targeted,single
35,NoControl,NoControl,,1,0.8499701023101807,0.8500000238418579,0.85,0,Forward,11906,attack,attacker,0.0017229999969003984,6.635,0.0,90.81269913622171,6.684,0.0,90.57909314264829,0,targeted,single
36,NoControl,NoControl,,0,0.8349297046661377,0.8399999737739563,0.84,0,Forward,11955,benign,client,0.001871999984359718,6.506,0.0,90.70239351555507,6.365,0.0,90.80359332199976,0,targeted,single
37,NoControl,NoControl,,1,0.8590880036354065,0.8600000143051147,0.86,0,Forward,12438,attack,attacker,0.0011699999902248237,6.76,0.0,90.76454182068997,6.647,0.0,90.84557804269477,70,targeted,single
38,NoControl,NoControl,,1,0.8899794220924377,0.8899999856948853,0.89,0,Forward,12666,attack,attacker,0.0013859999796750344,6.683,0.0,90.55241537418257,6.566,0.0,90.84880924478037,0,targeted,single
39,NoControl,NoControl,,1,0.8740659952163696,0.8700000047683716,0.87,0,Forward,12681,attack,attacker,0.00205199998504213,6.723,0.0,90.89771958912273,6.603,0.0,90.85974732682877,0,targeted,single
40,NoControl,NoControl,,1,0.8425387740135193,0.8500000238418579,0.85,0,Forward,12878,attack,attacker,0.0019780000002356246,6.82,0.0,90.62903266893994,6.871,0.0,90.6744050143911,140,targeted,single
41,NoControl,NoControl,,1,0.90160071849823,0.8999999761581421,0.9,0,Forward,13299,attack,attacker,0.0009830000067267974,6.314,0.0,90.823462907836,6.491,0.0,90.7461859894382,0,targeted,single
42,NoControl,NoControl,,1,0.9016007781028748,0.8999999761581421,0.9,0,Forward,13300,attack,attacker,0.0012200000014672696,6.529,0.0,91.0046765471935,6.371,0.0,90.7139572305005,0,targeted,single
43,NoControl,NoControl,,0,0.8007186651229858,0.800000011920929,0.8,0,Forward,13348,benign,client,0.0015990000008514471,6.448,0.0,90.9789108072637,6.287,0.0,90.76410850581347,0,targeted,single
44,NoControl,NoControl,,0,0.7630465626716614,0.7599999904632568,0.76,0,Forward,13382,benign,client,0.0012499999968440534,6.805,0.0,90.7915102430684,6.838,0.0,90.6635940254603,0,targeted,single
45,NoControl,NoControl,,1,0.8798288702964783,0.8799999952316284,0.87,0,Forward,13628,attack,attacker,0.001774999986992043,6.69,0.0,90.86447140381283,6.645,0.0,90.6565806405816,0,targeted,single
46,NoControl,NoControl,,0,0.8233427405357361,0.8199999928474426,0.82,0,Forward,13761,benign,client,0.0014889999988554337,6.613,0.0,90.6869522944232,6.768,0.0,90.78323601702755,0,targeted,single
47,NoControl,NoControl,,1,0.8986366391181946,0.8999999761581421,0.9,0,Forward,13957,attack,attacker,0.0012639999908969912,6.653,0.0,90.39940468628056,6.648,0.0,90.7688424582329,70,targeted,single
48,NoControl,NoControl,,0,0.7998307943344116,0.800000011920929,0.79,0,Forward,14449,benign,client,0.0024619999976494,6.536,0.0,90.5102076975007,6.507,0.0,90.68975939811293,0,targeted,single
49,NoControl,NoControl,,0,0.8410383462905884,0.8399999737739563,0.84,0,Forward,14557,benign,client,0.0010890000226027041,6.694,0.0,90.82603003016146,6.637,0.0,90.78695923210685,0,targeted,single
50,NoControl,NoControl,,0,0.8410382866859436,0.8399999737739563,0.84,0,Forward,14558,benign,client,0.0012929999684274662,6.634,0.0,90.64099006099164,6.55,0.0,90.8581727436573,0,targeted,single
51,NoControl,NoControl,,1,0.9198984503746032,0.9200000166893004,0.92,0,Forward,14853,attack,attacker,0.001649000012093893,6.68,0.0,90.83687979479006,6.287,0.0,90.8352231745137,0,targeted,single
52,NoControl,NoControl,,1,0.8886391520500183,0.8899999856948853,0.89,0,Forward,14870,attack,attacker,0.001194999981635192,6.378,0.0,90.88726990716452,6.291,0.0,90.82222080396787,0,targeted,single
53,NoControl,NoControl,,1,0.8786901831626892,0.8799999952316284,0.88,0,Forward,14880,attack,attacker,0.0012200000014672696,6.488,0.0,90.66499683265496,6.606,0.0,90.65402308787863,0,targeted,single
54,NoControl,NoControl,,0,0.7828757762908936,0.7799999713897705,0.78,0,Forward,15438,benign,client,0.001396000016029575,6.583,0.0,90.52402576100282,6.53,0.0,90.81783230904863,0,targeted,single
55,NoControl,NoControl,,1,0.8823724389076233,0.8799999952316284,0.89,0,Forward,16062,attack,attacker,0.0012879999644610507,6.76,0.0,90.5820583094939,6.332,0.0,90.83058495918243,0,targeted,single
56,NoControl,NoControl,,1,0.8523920178413391,0.8500000238418579,0.85,0,Forward,16156,attack,attacker,0.0012130000186516554,6.75,0.0,90.46360286171466,6.572,0.0,90.748583401658,0,targeted,single
