config_id,seed,lr,arch,tau_p,tau_r,val_score,val_bensafe,val_atkmit,val_bendrop,test_bensafe,test_atkmit,test_bendrop,test_avg_latency,elapsed_s
0,42,0.0001,"[128, 128]",0.78,0.84,0.8870215068232428,0.9756191950464397,0.9466738486399138,0.02089783281733746,0.9746523388116308,0.9327777018718404,0.024399494310998734,3.9845919087898842,113.9840521812439
0,2024,0.0001,"[128, 128]",0.78,0.84,0.8887082227130203,0.9788441692466461,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9369449378330373,0.024399494310998734,3.9862372899216876,112.45375108718872
0,2025,0.0001,"[128, 128]",0.78,0.84,0.8887983307711768,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.93796966798743,0.024399494310998734,3.985767342808898,112.34651947021484
0,100,0.0001,"[128, 128]",0.78,0.84,0.8882293533728959,0.9784571723426213,0.9469431726366819,0.02089783281733746,0.9753476611883691,0.9366033611149064,0.024399494310998734,3.986360255329309,113.34847497940063
0,200,0.0001,"[128, 128]",0.78,0.84,0.8886223243793958,0.9785861713106295,0.947347158631834,0.02089783281733746,0.9756005056890013,0.9376964066129253,0.024399494310998734,3.9870535551870536,113.00973415374756
0,301,0.0001,"[128, 128]",0.78,0.84,0.8887980338655257,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9377647219565515,0.024399494310998734,3.9860517210725623,113.08676218986511
0,404,0.0001,"[128, 128]",0.78,0.84,0.8887986177637291,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9371498838639158,0.024399494310998734,3.986134030692382,113.29018664360046
0,555,0.0001,"[128, 128]",0.78,0.84,0.8887830316910259,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9376964066129253,0.024399494310998734,3.987483197793394,113.82684206962585
0,666,0.0001,"[128, 128]",0.78,0.84,0.8251112908154332,0.9526573787409701,0.8831133854026394,0.02089783281733746,0.9732616940581542,0.9327093865282142,0.024399494310998734,3.9839734027332057,112.5728452205658
0,777,0.0001,"[128, 128]",0.78,0.84,0.8887977559197854,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9374231452384205,0.024399494310998734,3.986104816787803,112.91951823234558
1,42,0.0001,"[256, 128]",0.78,0.84,0.8815364548842564,0.9785861713106295,0.9389981147320227,0.02089783281733746,0.9756005056890013,0.934144008744364,0.024399494310998734,3.9855235545323393,116.31902885437012
1,2024,0.0001,"[256, 128]",0.78,0.84,0.8899475056041215,0.9791021671826625,0.9486937786156746,0.02089783281733746,0.9756005056890013,0.9387211367673179,0.024399494310998734,3.983341487553655,115.5059449672699
1,2025,0.0001,"[256, 128]",0.78,0.84,0.8887985658998956,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9378330373001776,0.024399494310998734,3.9858150230234166,115.52722001075745
1,100,0.0001,"[256, 128]",0.78,0.84,0.8865124826822008,0.9742002063983488,0.9466738486399138,0.02089783281733746,0.9740202275600506,0.9325727558409619,0.024399494310998734,3.988513658477335,115.80571699142456
1,200,0.0001,"[256, 128]",0.78,0.84,0.8887982190626196,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9753476611883691,0.9328460172154666,0.02427307206068268,3.9849726748115333,116.27325773239136
1,301,0.0001,"[256, 128]",0.78,0.84,0.8850980672440134,0.9793601651186791,0.9426339886883921,0.019865841073271415,0.9746523388116308,0.9260827981964749,0.024336283185840708,3.981060883379984,116.26890540122986
1,404,0.0001,"[256, 128]",0.78,0.84,0.8884639370859441,0.9784571723426213,0.9472124966334501,0.02089783281733746,0.9756005056890013,0.9340756934007378,0.024399494310998734,3.9852375356820273,116.53370881080627
1,555,0.0001,"[256, 128]",0.78,0.84,0.8886230577379952,0.9785861713106295,0.947347158631834,0.02089783281733746,0.9756005056890013,0.9351004235551305,0.024399494310998734,3.9854182094210833,115.88628220558167
1,666,0.0001,"[256, 128]",0.78,0.84,0.8888004971548227,0.9791021671826625,0.947347158631834,0.02089783281733746,0.9756005056890013,0.9372865145511682,0.024399494310998734,3.9846736019039666,115.62050652503967
1,777,0.0001,"[256, 128]",0.78,0.84,0.8891413110116329,0.9791021671826625,0.9477511446269863,0.02089783281733746,0.9756005056890013,0.937218199207542,0.024399494310998734,3.98565680537955,115.63747501373291
2,42,0.0003,"[128, 128]",0.82,0.88,0.30411401279810646,1.0,0.2458928090492863,0.0,1.0,0.23616614291569887,0.0,3.973617619417577,113.72328734397888
2,2024,0.0003,"[128, 128]",0.82,0.88,0.3042796681811403,0.9996130030959752,0.24616213304605442,0.0,0.9993678887484198,0.23623445825932504,0.0,3.956110128318167,113.54232907295227
2,2025,0.0003,"[128, 128]",0.82,0.88,0.2926954041924984,0.9664602683178535,0.24616213304605442,0.0,0.9357142857142857,0.23616614291569887,0.0,3.943131399007176,112.66434478759766
2,100,0.0003,"[128, 128]",0.82,0.88,0.30431198522349145,0.9998710010319918,0.24616213304605442,0.0,0.9983565107458913,0.23623445825932504,0.0,3.9678930190649186,113.17972326278687
2,200,0.0003,"[128, 128]",0.82,0.88,0.3035733341010912,0.9992260061919505,0.24548882305413414,0.0,0.9997471554993679,0.23623445825932504,0.0,3.955401047916843,113.01142311096191
2,301,0.0003,"[128, 128]",0.82,0.88,0.30442748670958775,1.0,0.24616213304605442,0.0,0.9998103666245259,0.23623445825932504,0.0,3.952713625860428,113.58637380599976
2,404,0.0003,"[128, 128]",0.82,0.88,0.30444868004514747,1.0,0.24616213304605442,0.0,1.0,0.23623445825932504,0.0,3.9446018657902884,114.34260511398315
2,555,0.0003,"[128, 128]",0.82,0.88,0.3044282876061378,1.0,0.24616213304605442,0.0,1.0,0.23623445825932504,0.0,3.9525778317106113,113.74285101890564
2,666,0.0003,"[128, 128]",0.82,0.88,0.30390081962614646,0.9989680082559339,0.24616213304605442,0.0,0.9985461441213653,0.23609782757207268,0.0,3.9984799589862647,113.58817458152771
2,777,0.0003,"[128, 128]",0.82,0.88,0.3044282876061378,1.0,0.24616213304605442,0.0,1.0,0.23623445825932504,0.0,3.9525778317106113,112.85010576248169
