config_id,test_bensafe,test_bensafe,test_atkmit,test_atkmit,test_bendrop,test_bendrop,test_avg_latency,test_avg_latency,val_score,val_score
,mean,std,mean,std,mean,std,mean,std,mean,std
0,0.975094816687737,0.0006879404853482838,0.9364735619620166,0.002008943522782334,0.024399494310998734,0.0,3.985975752111618,0.0010363202848982617,0.8821668468115231,0.020054906393725043
1,0.9752970922882428,0.0005378520198782074,0.934588058477934,0.0036813244926903977,0.024380530973451324,4.2664257756671384e-05,3.985021343416489,0.0018949322370943624,0.8875720098367502,0.0025428340594943525
2,0.9931542351453857,0.020191643778814744,0.23620713212187455,4.776649124061218e-05,0.0,0.0,3.9597104327782886,0.016495151379455533,0.3030607966089485,0.003653068786277705
