model,accuracy,precision,recall,f1,auc,fpr,fnr
XGBoost,0.9951896331686246,0.9980916773766406,0.9961906242711653,0.9971402447327977,0.9997921039272376,0.010138630250362093,0.003809375728834642
RandomForest,0.9954841454236067,0.9975112770259761,0.9971235326129207,0.9973173671319155,0.9998410930360523,0.01324229257190151,0.0028764673870792195
LightGBM,0.9956150397591544,0.9981314232326378,0.9966570784420431,0.9973937059944762,0.9998728141073321,0.009931719428926133,0.0033429215579569307
