controller,controller_family,seed,steps,benign_steps,attack_steps,num_attackers,benign_tcp_mbps,benign_udp_mbps,attack_tcp_mbps,attack_udp_mbps,benign_loss_pct,attack_suppression_ratio,mean_rtt_ms,mean_rule_install_ms,mean_ovs_flow_entries,ovs_cpu_pct,aggressive_on_benign_rate,aggressive_on_attack_rate,rule_changes_per_step,bottleneck_mbps
NoControl,NoControl,,49,24,25,3,35.931305453043024,39.406559590839436,35.93374305594658,39.40644146366609,0.0,-5.21743506900485e-05,15.116375,0.001639754948567371,1.0,1.126530612244898,0.0,0.0,0.0,40
Greedy,Greedy,,49,24,25,3,35.925115593667,39.40657600924499,0.0,0.0,0.0,1.0,15.177749999999998,23.396110333198187,3.938775510204082,1.0999999999999999,0.9583333333333334,1.0,2.938775510204082,40
CARA-TC,CARA-TC,,49,24,25,3,35.93438887337896,39.40653496474146,1.4371988267612854,1.5762850421052903,0.0,-0.4371988267612854,15.155,12.166573799082212,2.5306122448979593,1.0999999999999999,0.041666666666666664,0.96,1.530612244897959,40
