variant,num_features,removed_features,flow_accuracy,flow_precision,flow_recall,flow_f1,flow_auc,flow_ece,flow_brier,window_accuracy,window_precision,window_recall,window_f1,window_auc,window_ece,window_brier,benign_window_confidence_mean,benign_window_ratio_mean,attack_window_confidence_mean,attack_window_ratio_mean,ra_f1,ra_fpr,ra_goodput,ra_attack_mitigation_rate,ra_benign_drop_rate,ra_avg_latency,ra_avg_reward,ra_steps,ra_conf_strict,ra_isolate_confidence,ra_detector_ratio_strict,ra_queue_threshold,ra_link_threshold,ra_policy_name,ra_validation_selection_score
full_features,41,,0.9922117870349161,0.9914391485423415,0.9993780611054964,0.9953927755623524,0.999436375919724,0.026957111439548397,0.007056184692341939,0.48061328343018483,0.48061328343018483,1.0,0.6492083906159919,0.9881949715396648,0.36627051919838627,0.3549602528189371,0.816417632192637,0.8212566323587777,0.8682916479746219,0.8779916698037377,0.6491928330672343,1.0,0.8494310998735778,0.9975406476294576,0.15056890012642224,4.3419867060717205,-0.9798973340425499,30458,0.7,0.8,0.84,0.55,0.55,CARA-TC,0.8415987787308411
no_endpoint_stream_ids,30,icmp.seq_le;icmp.transmit_timestamp;http.tls_port;tcp.ack;tcp.ack_raw;tcp.dstport;tcp.seq;udp.port;udp.stream;mbtcp.trans_id;mbtcp.unit_id,0.8970516050917896,0.8971716034616196,0.9913317266578558,0.9419042694637317,0.8912407320624862,0.013311436523855632,0.07880373792779587,0.48061328343018483,0.48061328343018483,1.0,0.6492083906159919,0.8227172467360062,0.3616528027423741,0.36874286160900777,0.8305081614878326,0.9180897624167118,0.8547063775218586,0.9432830115274715,0.6491928330672343,1.0,0.3461441213653603,0.9515644213690395,0.6538558786346397,4.140624907516234,-3.613115963136322,30458,0.82,0.8,0.9,0.55,0.55,CARA-TC,0.5531538919673931
no_endpoint_stream_or_protocol_tags,21,arp.opcode;icmp.seq_le;icmp.transmit_timestamp;http.tls_port;tcp.ack;tcp.ack_raw;tcp.dstport;tcp.seq;udp.port;udp.stream;dns.qry.qu;dns.qry.type;mqtt.conflag.cleansess;mqtt.conflags;mqtt.hdrflags;mqtt.msg_decoded_as;mqtt.msgtype;mqtt.ver;mbtcp.trans_id;mbtcp.unit_id,0.897280670178998,0.8972528052340919,0.9915260825623883,0.9420367463761425,0.8912347602330174,0.016332083285925697,0.07924342685162367,0.48061328343018483,0.48061328343018483,1.0,0.6492083906159919,0.8236856175108158,0.36156905759417646,0.36899404310100914,0.8307688142722838,0.9181188396421908,0.8543980459435991,0.9434565206036247,0.6491928330672343,1.0,0.3391276864728192,0.9536138816778248,0.6608723135271808,4.135623046073633,-3.640593081988578,30458,0.82,0.8,0.9,0.55,0.55,CARA-TC,0.5493504985845898
size_timing_only,8,arp.opcode;icmp.checksum;icmp.seq_le;icmp.transmit_timestamp;icmp.unused;http.response;http.tls_port;tcp.ack;tcp.ack_raw;tcp.checksum;tcp.connection.fin;tcp.connection.rst;tcp.connection.syn;tcp.connection.synack;tcp.dstport;tcp.flags;tcp.flags.ack;tcp.seq;udp.port;udp.stream;dns.qry.qu;dns.qry.type;dns.retransmission;dns.retransmit_request;dns.retransmit_request_in;mqtt.conflag.cleansess;mqtt.conflags;mqtt.hdrflags;mqtt.msg_decoded_as;mqtt.msgtype;mqtt.ver;mbtcp.trans_id;mbtcp.unit_id,0.8884125789456462,0.8833573833573833,0.9994169322864028,0.9378100379340532,0.7410613535866905,0.006951288847880698,0.09441641956488599,0.48061328343018483,0.48061328343018483,1.0,0.6492083906159919,0.7610097423461168,0.361481083725485,0.3722459339115052,0.834003352971957,0.9437262964045202,0.8508381231763225,0.9618642022028444,0.6491928330672343,1.0,0.22648546144121365,0.971649132395136,0.7735145385587864,4.063281668345204,-4.11176753547147,30458,0.82,0.8,0.7,0.55,0.55,CARA-TC,0.4753890784797322
